course,course number,credit hours,section number,crn,start date,end date,type,meeting time start,meeting time end,meeting days,building location,room number,instructors
HDFS,101,1 hours.,B  ,67230,2024-08-26Z,2024-12-11Z,Lecture-Discussion,03:30 PM,04:20 PM,T      ,Bevier Hall,144,Anderson B
HDFS,101,1 hours.,C  ,70810,2024-08-26Z,2024-12-11Z,Lecture-Discussion,02:00 PM,03:20 PM,R      ,Bevier Hall,144,Anderson B
HDFS,105,3 hours.,ADA,37602,2024-08-26Z,2024-12-11Z,Discussion/Recitation,10:00 AM,10:50 AM,T      ,Bevier Hall,144,
HDFS,105,3 hours.,ADC,37608,2024-08-26Z,2024-12-11Z,Discussion/Recitation,09:00 AM,09:50 AM,T      ,Bevier Hall,144,
HDFS,105,3 hours.,ADE,37610,2024-08-26Z,2024-12-11Z,Discussion/Recitation,11:00 AM,11:50 AM,T      ,Bevier Hall,144,
HDFS,105,3 hours.,ADG,37613,2024-08-26Z,2024-12-11Z,Discussion/Recitation,11:00 AM,11:50 AM,T      ,Bevier Hall,103,
HDFS,105,3 hours.,ADH,37614,2024-08-26Z,2024-12-11Z,Discussion/Recitation,11:00 AM,11:50 AM,T      ,Turner Hall,W203,
HDFS,105,3 hours.,ADI,37615,2024-08-26Z,2024-12-11Z,Discussion/Recitation,12:00 PM,12:50 PM,T      ,Bevier Hall,144,
HDFS,105,3 hours.,ADJ,37616,2024-08-26Z,2024-12-11Z,Discussion/Recitation,01:00 PM,01:50 PM,T      ,Bevier Hall,144,
HDFS,105,3 hours.,ADK,37617,2024-08-26Z,2024-12-11Z,Discussion/Recitation,12:00 PM,12:50 PM,T      ,Bevier Hall,103,
HDFS,105,3 hours.,AL1,37618,2024-08-26Z,2024-12-11Z,Lecture,12:00 PM,12:50 PM,MW     ,David Kinley Hall,114,
HDFS,105,3 hours.,C1 ,74866,2024-08-26Z,2024-10-18Z,Online,ARRANGED,,,,,
HDFS,105,3 hours.,C2 ,58270,2024-10-21Z,2024-12-11Z,Online,ARRANGED,,,,,
HDFS,108,3 hours.,A  ,73329,2024-08-26Z,2024-12-11Z,Lecture-Discussion,09:30 AM,10:50 AM,TR     ,Henry Administration Bldg,156,Hurth E
HDFS,120,3 hours.,AD1,69912,2024-08-26Z,2024-12-11Z,Discussion/Recitation,12:00 PM,12:50 PM,W      ,Bevier Hall,144,
HDFS,120,3 hours.,AD2,69913,2024-08-26Z,2024-12-11Z,Discussion/Recitation,01:00 PM,01:50 PM,W      ,Bevier Hall,144,
HDFS,120,3 hours.,AD3,69914,2024-08-26Z,2024-12-11Z,Discussion/Recitation,10:00 AM,10:50 AM,F      ,Bevier Hall,144,
HDFS,120,3 hours.,AD4,73055,2024-08-26Z,2024-12-11Z,Discussion/Recitation,11:00 AM,11:50 AM,F      ,Bevier Hall,144,
HDFS,120,3 hours.,AE1,69915,2024-08-26Z,2024-12-11Z,Lecture,11:00 AM,11:50 AM,MW     ,Burrill Hall,124,
HDFS,140,3 hours.,AD1,55712,2024-08-26Z,2024-12-11Z,Discussion/Recitation,10:00 AM,10:50 AM,F      ,"Literatures, Cultures, & Ling",G20,"Khan M,Turner R"
HDFS,140,3 hours.,AD2,55716,2024-08-26Z,2024-12-11Z,Discussion/Recitation,11:00 AM,11:50 AM,F      ,"Literatures, Cultures, & Ling",G36,"Khan M,Turner R"
HDFS,140,3 hours.,AD3,55718,2024-08-26Z,2024-12-11Z,Online Discussion,03:00 PM,03:50 PM,R      ,,,"Khan M,Rijo Sanchez A"
HDFS,140,3 hours.,AD4,55720,2024-08-26Z,2024-12-11Z,Online Discussion,04:00 PM,04:50 PM,R      ,,,"Khan M,Rijo Sanchez A"
HDFS,140,3 hours.,AL1,55714,2024-08-26Z,2024-12-11Z,Lecture,11:00 AM,11:50 AM,MW     ,English Building,160,Khan M
HDFS,143,3 hours.,ON1,63938,2024-08-26Z,2024-12-11Z,Online,ARRANGED,,,,,
HDFS,199,1 TO 5 hours.,A  ,30319,2024-08-26Z,2024-12-11Z,Lecture-Discussion,02:00 PM,02:50 PM,W      ,Christopher Hall,3,Patton K
HDFS,199,1 TO 5 hours.,A2 ,49967,2024-08-26Z,2024-10-18Z,Online,ARRANGED,,,,,Yao L
HDFS,199,1 TO 5 hours.,A3 ,71360,2024-08-26Z,2024-10-18Z,Online,ARRANGED,,,,,Yao L
